job,website,company,salary


JAVA研发工程师,http://company.zhaopin.com/CC377910738.htm,无锡中科智人自动化科技有限公司,6001-8000
电子电气转行软件开发(JAVA、软件测试),http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
java软件工程师签约实习生,http://special.zhaopin.com/bf/2014/zgcrjy120485,中青才智教育投资(北京)有限公司,7500-13000
初级java开发工程师,http://special.zhaopin.com/2016/wx/11004/wxzr081865/zpzw.html,无锡中软国际信息技术培训有限公司,4001-6000
初级JAVA实习+福利好,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,4001-6000
初级JAVA实习生+双休+免食宿,http://company.zhaopin.com/CZ606673820D00113273471.htm,北京才秀人人科技有限公司03,4001-6000
急聘java实习生+双休,http://company.zhaopin.com/CZ606673820D00113273471.htm,北京才秀人人科技有限公司03,4001-6000
应用软件工程师（Java）,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,6001-8000
IT企业直聘java开发实习生,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,4001-6000
名企JAVA大数据实习生（基础不限）,http://company.zhaopin.com/CZ484541530D00113436510.htm,无锡阿甲科技有限公司,4001-6000
初级java开发工程师/java程序员可实习,http://company.zhaopin.com/CZ484541530D00113436510.htm,无锡阿甲科技有限公司,6001-8000
JAVA实习生+可提供住宿,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,4001-6000
电子电气转行Java软件开发/软件测试,http://company.zhaopin.com/CZ484541530D00113436510.htm,无锡阿甲科技有限公司,6001-8000
Java/C/C++软件工程师大数据开发实习,http://company.zhaopin.com/CZ484541530D00113436510.htm,无锡阿甲科技有限公司,6001-8000
java高级工程师-蓝深远望-高端会,http://company.zhaopin.com/CC204009213.htm,无锡市人力资源市场,10001-15000
Net/Android/Java/Web/C语言程序员,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,6001-8000
JAVA编程实习生（五险一金+住宿）,http://company.zhaopin.com/CC689935929.htm,北京百知教育科技有限公司,7500-13000
java开发工程师（本科）,http://company.zhaopin.com/CC120220260.htm,文思海辉技术有限公司 Pactera Technology International Limited,面议
Java开发工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000134857D90000154000,中船重工,面议
java开发工程师-和亿智能-高端会,http://company.zhaopin.com/CC204009213.htm,无锡市人力资源市场,10000-12500
java开发工程师-雅迪-高端会,http://company.zhaopin.com/CC204009213.htm,无锡市人力资源市场,10001-15000
Java开发工程师,http://company.zhaopin.com/CC445115731.htm,无锡点春科技股份有限公司,4000-8000
中级Java开发--自有产品,http://company.zhaopin.com/CC120220260.htm,文思海辉技术有限公司 Pactera Technology International Limited,面议
Java开发工程师(长亮数据）,http://company.zhaopin.com/P6/CC1205/6455/CC120564559.htm,深圳市长亮科技股份有限公司,8000-16000
Java服务器后台开发工程师,http://company.zhaopin.com/CC445115731.htm,无锡点春科技股份有限公司,7000-12000
JAVA开发/储备人才年底双薪 饭补 加班补助,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,6001-8000
