job,website,company,salary
补贴双休+计算机文员/it文员/IT程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
初级java开发工程师/java程序员可实习,http://company.zhaopin.com/CZ484541530D00113436510.htm,无锡阿甲科技有限公司,6001-8000
Net/Android/Java/Web/C语言程序员,http://company.zhaopin.com/CZ484541530D00300045559.htm,阿甲科技有限公司,6001-8000
软件程序员,http://company.zhaopin.com/CZ633064630.htm,无锡威泰朗信息技术有限公司,6001-8000
高薪Java开发/java程序员实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
Java开发程序员 接收实习生,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
五险+提成java工程师助理/java程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
Java实习生/Java开发/Java程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪初级Java开发程序员/Java开发助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
招程序员开发+实习亦可,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,6001-8000
软件研发工程师/程序员（奖金+高额公积金）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
Java开发工程师/Java程序员（在校生实习）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
手机APP程序员/软件开发（java/安卓）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
年终奖IT程序员/java/数据库开发工程师助理,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
软件工程师/程序员（可实习+项目奖金）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
高薪Java程序员实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
程序员3000-5000元/月,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,6001-8000
手机APP程序员/软件开发（java/安卓）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
初级C/C++程序员/C语言开发工程师（双休）,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
IT学徒+JAVA程序员软件开发实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
Java实习生/Java开发/Java程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
手机APP程序员/软件开发（IOS/安卓）,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
java程序员、软件工程师实习+转正,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
IT信息技术专员/IT程序员高薪可实习,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
php程序员实习生【发展前途好】,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
补贴双休+计算机文员/it文员/IT程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
程序员实习生双休,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,4001-6000
包食宿年底14薪.net工程师助理/net程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,3000-5000
php网站开发/php网站程序员可实习双休,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,4001-6000
游戏运营实习生/游戏开发程序员（双休）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
助理SAS程序员,http://company.zhaopin.com/CZ132762320.htm,上海用正医药科技有限公司,4001-6000
IT运维工程师/IT程序员实习生双休五险,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
程序员5K+房补,http://company.zhaopin.com/CC274212189.htm,无锡达内科技有限公司第一分公司,6001-8000
五险双休 仓库/物流管理员可转IT程序员,http://company.zhaopin.com/CC613407487.htm,南京爬虫信息科技有限公司无锡分公司,3000-5000
python开发/Python程序员（经验不限）,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
java程序员,http://company.zhaopin.com/P7/CC0004/1376/CC000413762.htm,北京易华录信息技术股份有限公司,5000-8000
IT技术文员/IT助理/IT程序员专业不限可实习,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,3500-6000
急招初级程序员/实习生,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
php软件工程师/PHP开发/PHP程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
无经验可学徒）Java实习生/java开发/java程序员,http://special.zhaopin.com/pagepublish/42046681/index.html,无锡达内科技有限公司,4001-6000
C++程序员实习生，可无经验,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
互联网软件开发实习生/互联网程序员,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
诚聘：ios程序员/IOS开发工程师助理,http://company.zhaopin.com/CC518487033.htm,软世通信息科技集团有限公司无锡分公司,4001-6000
程序员（C语言基础）应届,http://company.zhaopin.com/CC527029631.htm,无锡阿甲科技有限公司,4001-6000
