job,website,company,salary
php程序员,http://company.zhaopin.com/CZ639828830.htm,苏州汇智成网络科技有限公司,6001-8000
PHP程序员/软件编程（应届毕业生+双休),http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
.net软件开发工程师助理/.net程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
应届生优先 Java软件开发工程师/java程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
php程序员,http://company.zhaopin.com/CZ683146320.htm,苏州大鼎文化传媒有限公司,5000-10000
热招软件工程师程序员,http://company.zhaopin.com/CZ606673820D00113273461.htm,北京才秀人人科技有限公司02,4001-6000
Java软件开发助理/Java程序员+双休五险,http://company.zhaopin.com/CZ484541530D00113436550.htm,才秀人人苏州分公司,4001-6000
【实习岗】计算机程序员+不限专业,http://company.zhaopin.com/CC518228184.htm,南京阿甲软件有限公司,4001-6000
手机APP程序员/软件开发（java/安卓）,http://company.zhaopin.com/CC518228184.htm,南京阿甲软件有限公司,4001-6000
C++程序员实习生，可无经验,http://company.zhaopin.com/CC518228184.htm,南京阿甲软件有限公司,4001-6000
补贴双休+计算机文员/it文员/IT程序员学徒,http://company.zhaopin.com/CC518228184.htm,南京阿甲软件有限公司,4001-6000
初级java开发工程师/初级开发程序员可实习,http://company.zhaopin.com/CC253786584.htm,苏州达内信息科技有限公司第一分公司,4001-6000
初级Java软件开发/java程序员  双休,http://company.zhaopin.com/CC573132530.htm,苏州学码思企业管理合伙企业(有限合伙),4001-6000
Java软件开发程序员  双休五险+食宿补贴,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
（可学徒）php程序员/php开发实习生/php工程师助理双休+包住宿,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
5k起诚聘初级java程序员/软件开发实习生/Java工程师助理,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
IOS移动端软件开发程序员/IOS编程+双休五险,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
java开发工程师助理/java程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
Net/Android/Java/Web/C语言程序员,http://company.zhaopin.com/CC253786584.htm,苏州达内信息科技有限公司第一分公司,8001-10000
招程序员开发+实习亦可,http://special.zhaopin.com/2016/nhzx/11025/szdn012606,苏州达内信息科技有限公司,4001-6000
Java实习生/java开发/java程序员,http://company.zhaopin.com/CC253786584.htm,苏州达内信息科技有限公司第一分公司,4001-6000
初级java开发工程师/java程序员可实习,http://company.zhaopin.com/CC253786584.htm,苏州达内信息科技有限公司第一分公司,6001-8000
java/web前端/.net/php软件混合开发程序员,http://special.zhaopin.com/2016/nhzx/11025/szdn012606,苏州达内信息科技有限公司,6001-8000
初级Java开发程序员5K双休+食宿/五险一金,http://special.zhaopin.com/2016/nhzx/11025/szdn012606,苏州达内信息科技有限公司,4001-6000
初级程序员,http://special.zhaopin.com/2016/nhzx/11025/szdn012606,苏州达内信息科技有限公司,4001-6000
java网站程序员(实习生),http://company.zhaopin.com/CC253786584.htm,苏州达内信息科技有限公司第一分公司,4001-6000
(无经验可学徒）Java开发实习生/java开发工程师助理/java程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
java软件开发工程师/java程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6000-8000
PHP软件开发程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
游戏测试员/APP软件测试/测试程序员（双休五险一金可学徒）,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,4001-6000
包食宿  PHP软件开发程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
诚聘Java软件开发工程师/Java程序员,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
初级Java程序员实习生（包住宿  双休）,http://company.zhaopin.com/CC466382035.htm,苏州软世通信息技术有限公司,6001-8000
程序员助理5千起/可实习,http://company.zhaopin.com/CC554770439.htm,苏州阿甲软件有限公司,4001-6000
【实习岗】计算机程序员+不限专业,http://company.zhaopin.com/CC554770439.htm,苏州阿甲软件有限公司,4001-6000
热招软件工程师程序员,http://special.zhaopin.com/2016/nhzx/11025/szdn012606,苏州达内信息科技有限公司,4001-6000
